,id,date,user,text,retweet,retweet_count,location,source,followers_count,friends_count,favourite_count,post_by
1547,1.42395891195924E+018,Sat Aug 07 10:47:15 +0000 2021,mrkuzhanthai,"RT @selvinnellai87: Let's celebrate The Day 😎

#மங்களஇசை_கேட்டநாள் https://t.co/dLI4PYpYKO",True,208,mannargudi TN:50,Android,250,250,21730,selvinnellai87
1548,1.42395890737909E+018,Sat Aug 07 10:47:14 +0000 2021,Ye4Kathir,"RT @itzz_iniyaa: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨

 https://t.co/xhjOVlEdwq",True,205,,Android,35,137,7667,itzz_iniyaa
1549,1.42395880687938E+018,Sat Aug 07 10:46:50 +0000 2021,gopikaruppu,"RT @Rajkumar_scb: #மங்களஇசை_கேட்டநாள்
Let's celebrate
#மங்களஇசை_கேட்டநாள் https://t.co/MIAlzA6WYG",True,49,m k B nagar vyasarpadi ,Android,268,715,20530,Rajkumar_scb
1550,1.42395878761073E+018,Sat Aug 07 10:46:45 +0000 2021,VenkatVelalar,"RT @selvinnellai87: Let's celebrate The Day 😎

#மங்களஇசை_கேட்டநாள் https://t.co/dLI4PYpYKO",True,208,"Tiruvarur, Tamilnadu",Android,837,727,3997,selvinnellai87
1551,1.42395874379295E+018,Sat Aug 07 10:46:35 +0000 2021,ratnajameer,"RT @TamizhanThiruma: Happy death day bro🙂 

#மங்களஇசை_கேட்டநாள் https://t.co/1LelQN9Zap",True,240,தமிழீழம்,Android,4590,2141,43877,TamizhanThiruma
1552,1.42395873986271E+018,Sat Aug 07 10:46:34 +0000 2021,mrkuzhanthai,"RT @ntknikaran: Trending 😌❤️
#மங்களஇசை_கேட்டநாள் https://t.co/ktVhneWRCM",True,183,mannargudi TN:50,Android,250,250,21730,ntknikaran
1553,1.42395872845006E+018,Sat Aug 07 10:46:31 +0000 2021,mrkuzhanthai,"RT @cringOquine: Remembering the backstabbing of Karunanidhi

#மங்களஇசை_கேட்டநாள்",True,171,mannargudi TN:50,Android,250,250,21730,cringOquine
1554,1.42395870697525E+018,Sat Aug 07 10:46:26 +0000 2021,mrkuzhanthai,"RT @ntknikaran: Vaiko explaining how Karunanidhi and Sonia were united in destroying the life of Tamils

#மங்களஇசை_கேட்டநாள் https://t.co/n…",True,315,mannargudi TN:50,Android,250,250,21730,ntknikaran
1555,1.42395869406529E+018,Sat Aug 07 10:46:23 +0000 2021,mrkuzhanthai,"RT @vivekbabu21: Tamils today
#மங்களஇசை_கேட்டநாள் https://t.co/B9bCRmMT0W",True,369,mannargudi TN:50,Android,250,250,21730,vivekbabu21
1556,1.42395860088463E+018,Sat Aug 07 10:46:00 +0000 2021,London_Thala,RT @Thennavan_Pandi: Common DP for #மங்களஇசை_கேட்டநாள் https://t.co/KBDmP50gQ3,True,55,"London, England", iPhone,404,509,56945,Thennavan_Pandi
1557,1.42395856487227E+018,Sat Aug 07 10:45:52 +0000 2021,MurugeshTkulam,RT @Abiadmk: Everything started here ..!! #மங்களஇசை_கேட்டநாள் https://t.co/gbfxT0YRDk,True,52,,Android,1331,1086,39377,Abiadmk
1558,1.42395856377346E+018,Sat Aug 07 10:45:52 +0000 2021,London_Thala,RT @Ranjith06094230: Let's celebrate 😂😂😂#மங்களஇசை_கேட்டநாள் https://t.co/o5jM6JXXNg,True,57,"London, England", iPhone,404,509,56945,Ranjith06094230
1559,1.42395854783091E+018,Sat Aug 07 10:45:48 +0000 2021,London_Thala,"RT @KsBalaj10622284: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨ https://t.co/6SrGfZcw94",True,27,"London, England", iPhone,404,509,56945,KsBalaj10622284
1560,1.42395850223022E+018,Sat Aug 07 10:45:37 +0000 2021,gopikaruppu,"RT @venkateshaprabu: Thought of somebody posting this pic.. but didn't..

#மங்களஇசை_கேட்டநாள் https://t.co/VIxTHkWd6c",True,41,m k B nagar vyasarpadi ,Android,268,715,20530,venkateshaprabu
1561,1.42395845295994E+018,Sat Aug 07 10:45:25 +0000 2021,iKannadi,"RT @ntknikaran: Vaiko explaining how Karunanidhi and Sonia were united in destroying the life of Tamils

#மங்களஇசை_கேட்டநாள் https://t.co/n…",True,315,, iPhone,2150,994,3262,ntknikaran
1562,1.42395844702486E+018,Sat Aug 07 10:45:24 +0000 2021,gopikaruppu,"RT @ME_TVR: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨ https://t.co/4ZdFpmdiAj",True,36,m k B nagar vyasarpadi ,Android,268,715,20530,ME_TVR
1563,1.42395843069649E+018,Sat Aug 07 10:45:20 +0000 2021,London_Thala,RT @varsharmd65: Common DP for #மங்களஇசை_கேட்டநாள் https://t.co/V9Imyp8uKt,True,18,"London, England", iPhone,404,509,56945,varsharmd65
1564,1.42395840715386E+018,Sat Aug 07 10:45:14 +0000 2021,London_Thala,"RT @SabariswarM: #மங்களஇசை_கேட்டநாள்
Happy death day da bro🤣🤣 https://t.co/3TC2yufJNI",True,16,"London, England", iPhone,404,509,56945,SabariswarM
1565,1.4239583854736E+018,Sat Aug 07 10:45:09 +0000 2021,London_Thala,"RT @Thennavan_Pandi: #மங்களஇசை_கேட்டநாள்
🔥Trending... https://t.co/4A9mzViKUt",True,35,"London, England", iPhone,404,509,56945,Thennavan_Pandi
1566,1.42395835564781E+018,Sat Aug 07 10:45:02 +0000 2021,London_Thala,RT @Tenkasilokshaba: Tamilians enjoy the day... 💃💃🕺🕺#மங்களஇசை_கேட்டநாள் https://t.co/Wf00SRlfNP,True,31,"London, England", iPhone,404,509,56945,Tenkasilokshaba
1567,1.42395834543888E+018,Sat Aug 07 10:45:00 +0000 2021,Thennavan_Pandi,RT @karichikumar: Super #மங்களஇசை_கேட்டநாள்,True,5,"Madurai, Tamil Nadu ",Web App,29,149,151,karichikumar
1568,1.42395829674707E+018,Sat Aug 07 10:44:48 +0000 2021,Thambiispeaks,"RT @Narmadh89404961: The day 😁😁

#மங்களஇசை_கேட்டநாள் https://t.co/ow8cfWToHC",True,57,,Android,873,2885,40109,Narmadh89404961
1569,1.42395820406575E+018,Sat Aug 07 10:44:26 +0000 2021,London_Thala,RT @HrithickPrabhu: #மங்களஇசை_கேட்டநாள் the real money heist 🤣🤣🤣🤣 https://t.co/3MZd1KqKOO,True,49,"London, England", iPhone,404,509,56945,HrithickPrabhu
1570,1.42395812104357E+018,Sat Aug 07 10:44:06 +0000 2021,gopikaruppu,"RT @Madhavan996: @voiceofkarur Pass it on 🔁

#மங்களஇசை_கேட்டநாள்",True,90,m k B nagar vyasarpadi ,Android,268,715,20530,Madhavan996
1571,1.42395811048223E+018,Sat Aug 07 10:44:04 +0000 2021,gopikaruppu,"RT @MrYashwanth8: RT MAX 😁🔁
#மங்களஇசை_கேட்டநாள்",True,112,m k B nagar vyasarpadi ,Android,268,715,20530,MrYashwanth8
1572,1.42395808785417E+018,Sat Aug 07 10:43:58 +0000 2021,London_Thala,"RT @selvinnellai87: Let's celebrate The Day 😎

#மங்களஇசை_கேட்டநாள் https://t.co/dLI4PYpYKO",True,208,"London, England", iPhone,404,509,56945,selvinnellai87
1573,1.42395807524595E+018,Sat Aug 07 10:43:55 +0000 2021,gopikaruppu,"RT @VedicSriram: This tag is trending like 🔥

#மங்களஇசை_கேட்டநாள்",True,64,m k B nagar vyasarpadi ,Android,268,715,20530,VedicSriram
1574,1.42395807167255E+018,Sat Aug 07 10:43:54 +0000 2021,London_Thala,"RT @selvinnellai87: Let’s Start 

 #மங்களஇசை_கேட்டநாள் https://t.co/TEoT8AbCFk",True,166,"London, England", iPhone,404,509,56945,selvinnellai87
1575,1.42395805861965E+018,Sat Aug 07 10:43:51 +0000 2021,MrYashwanth8,RT @pilot_of_rocket: #மங்களஇசை_கேட்டநாள்  trending ..!😂 https://t.co/2URdrqqI28,True,148,,Android,162,348,13186,pilot_of_rocket
1576,1.42395803844524E+018,Sat Aug 07 10:43:46 +0000 2021,London_Thala,"RT @lokiunoffl: #மங்களஇசை_கேட்டநாள்

Tamils now 👇🕺💃🔊🎼🎸🎺 https://t.co/V0R3RKEKN5",True,62,"London, England", iPhone,404,509,56945,lokiunoffl
1577,1.42395802494786E+018,Sat Aug 07 10:43:43 +0000 2021,MrYashwanth8,"RT @Dee__cruzz: Let see what's #trending  Now
#மங்களஇசை_கேட்டநாள்

 Noooooooooooooooooo........ 
💥💥💥 https://t.co/Tz1CwycDxE",True,67,,Android,162,348,13186,Dee__cruzz
1578,1.42395796690701E+018,Sat Aug 07 10:43:29 +0000 2021,Sumitha_Off,"RT @Saimanrajs: Best msg to heaters 🔥🔥
How to handle negative trend and false allegations 👇👇
Great attitude of Thalaivar 👇
#மங்களஇசை_கேட்ட…",True,16,"Chennai, India",Android,1326,828,14272,Saimanrajs
1579,1.42395796167259E+018,Sat Aug 07 10:43:28 +0000 2021,gopikaruppu,RT @naanmathan: Common DP for #மங்களஇசை_கேட்டநாள் https://t.co/D3rujrsw8T,True,222,m k B nagar vyasarpadi ,Android,268,715,20530,naanmathan
1580,1.42395792693948E+018,Sat Aug 07 10:43:20 +0000 2021,gopikaruppu,"RT @selvinnellai87: Trending India ✔️🔁

 #மங்களஇசை_கேட்டநாள்",True,229,m k B nagar vyasarpadi ,Android,268,715,20530,selvinnellai87
1581,1.42395789714739E+018,Sat Aug 07 10:43:13 +0000 2021,gopikaruppu,"RT @vivekbabu21: Tamils today
#மங்களஇசை_கேட்டநாள் https://t.co/B9bCRmMT0W",True,369,m k B nagar vyasarpadi ,Android,268,715,20530,vivekbabu21
1582,1.42395787407875E+018,Sat Aug 07 10:43:07 +0000 2021,ABIRAMI29802637,"RT @Rajkumar_scb: #மங்களஇசை_கேட்டநாள்
Let's celebrate
#மங்களஇசை_கேட்டநாள் https://t.co/MIAlzA6WYG",True,49,,Android,2665,2582,76906,Rajkumar_scb
1583,1.42395785979714E+018,Sat Aug 07 10:43:04 +0000 2021,saravan75782748,"RT @gounderism: Celebrations in Thiruvarur.
(Dheeran chinnamalai gounder ) kongu country vellala chieftain’s new statue was unveiled in CHO…",True,23,,Web App,513,464,14635,gounderism
1584,1.42395783355755E+018,Sat Aug 07 10:42:58 +0000 2021,MrYashwanth8,"RT @hariharanvenkat: goosebumps..

#மங்களஇசை_கேட்டநாள்",True,80,,Android,162,348,13186,hariharanvenkat
1585,1.42395780234357E+018,Sat Aug 07 10:42:50 +0000 2021,MrYashwanth8,"RT @itzz_iniyaa: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨

 https://t.co/xhjOVlEdwq",True,205,,Android,162,348,13186,itzz_iniyaa
1586,1.42395779223952E+018,Sat Aug 07 10:42:48 +0000 2021,London_Thala,"RT @ME_TVR: Bliss tune, this vid 💯, Hell' gate open fr the kattumaram

Looter is always looter 🤣🤣🤣 

#FatherOfCorruption
#மங்களஇசை_கேட்டநா…",True,54,"London, England", iPhone,404,509,56945,ME_TVR
